symbol,name,sector,price,pe,pb,div_yield,roe,debt,profit_margin,yoy,eps_growth,market,last_updated
2330,TAIWAN SEMICONDUCTOR MANUFACTUR,Technology,2030.0,27.547834,8.936236,1.18,36.21,17.131,46.505,35.099999999999994,58.4,Taiwan,2026-04-19 13:14:13
2317,HON HAI PRECISION INDUSTRY,Technology,206.0,15.384615,1.6225072,2.82,11.251,65.296,2.3369999999999997,22.3,-0.3,Taiwan,2026-04-19 13:14:13
2454,MEDIATEK INC,Technology,1925.0,29.153416,7.669781,2.78,26.064999999999998,2.49,17.672001,8.799999999999999,-3.6999999999999997,Taiwan,2026-04-19 13:14:13
2412,CHUNGHWA TELECOM,Communication Services,137.5,27.610441,2.7614877,3.64,10.143,9.486,16.396,0.5,3.5999999999999996,Taiwan,2026-04-19 13:14:13
2882,CATHAY FINANCIAL HLDG CO,Financial Services,75.0,10.62323,1.2050903,4.67,0.0,85.465,7.718,112.9,334.7,Taiwan,2026-04-19 13:14:13
2891,CTBC FINANCIAL HOLDINGS COMPANY,Financial Services,53.099998474121094,13.078817,2.13949,4.33,15.539,122.809,14.152999,43.3,48.3,Taiwan,2026-04-19 13:14:13
1301,FORMOSA PLASTIC,Basic Materials,53.400001525878906,38.919582,0.93587345,0.0,-3.081,41.634,-5.7290003,-18.3,0.0,Taiwan,2026-04-19 13:14:13
1326,FORMOSA CHEMICAL & FIBRE CO,Basic Materials,51.0,48.011295,0.8624772,0.0,-1.6809999999999998,34.203,-2.02,-20.0,0.0,Taiwan,2026-04-19 13:14:13
1215,CHAROEN POKPHAND ENTERPRISES CO,Consumer Defensive,142.5,13.741562,3.3766172,4.91,25.624000000000002,119.575,10.776,3.5000000000000004,8.0,Taiwan,2026-04-19 13:14:13
3008,LARGAN PRECISION CO,Technology,2605.0,16.583906,1.8408945,3.07,11.459999999999999,0.062,34.792998000000004,-5.4,-22.5,Taiwan,2026-04-19 13:14:13
2382,QUANTA COMPUTER,Technology,323.0,17.089947,5.1113257,4.02,31.184998000000004,126.101,3.531,53.0,37.9,Taiwan,2026-04-19 13:14:13
2451,TRANSCEND INFORMATION INC,Technology,246.5,19.04946,4.611787,2.47,25.990999999999996,0.243,32.512,171.9,635.5,Taiwan,2026-04-19 13:14:13
2207,HOTAI MOTOR CO,Consumer Cyclical,515.0,15.196223,3.330014,3.88,18.891001,253.558,6.703,-0.2,14.099999999999998,Taiwan,2026-04-19 13:14:13
2308,DELTA ELECTRONIC,Technology,1840.0,80.0,17.829975,0.0,22.459999,23.761,10.8330004,41.5,141.79999999999998,Taiwan,2026-04-19 13:14:13
2609,YANG MING MARINE TRANSPORT CORP,Industrials,50.70000076293945,10.368098,0.5433443,14.79,5.204000000000001,22.012,10.453,-30.3,-81.69999999999999,Taiwan,2026-04-19 13:14:13
2615,WAN HAI LINES,Industrials,75.30000305175781,6.7232146,0.76749027,4.65,11.7189996,24.292,22.418,-19.6,-21.4,Taiwan,2026-04-19 13:14:13
2105,CHENG SHIN RUBBER INDUSTRIES,Consumer Cyclical,32.650001525878906,21.766668,1.21674,5.51,5.436,43.437,5.3469999999999995,-8.0,-21.9,Taiwan,2026-04-19 13:14:13
8046,NAN YA PRINTED CIRCUIT BOARD CO,Technology,724.0,0.0,10.14304,14.000000000000002,4.2519998,2.677,4.8460003,41.9,572.7,Taiwan,2026-04-19 13:14:13
2474,CATCHER TECHNOLOGY,Industrials,217.0,19.18656,0.89304817,5.29,4.719,42.846,38.305,-5.8999999999999995,-28.799999999999997,Taiwan,2026-04-19 13:14:13
2881,FUBON FINANCIAL HLDG CO LTD,Financial Services,88.0,10.51374,1.27527,4.71,12.322,75.827,12.4639995,24.0,1.7999999999999998,Taiwan,2026-04-19 13:14:13
2883,KGI FINANCIAL HOLDING CO LTD,Financial Services,20.950000762939453,12.04023,1.1413784,4.02,9.4689995,103.992,8.559,35.3,149.5,Taiwan,2026-04-19 13:14:13
2884,E SUN FINANCIAL HOLDINGS,Financial Services,32.75,15.448114,1.9421217,3.66,13.055,395673534464.0,40.241,30.599999999999998,56.2,Taiwan,2026-04-19 13:14:13
2885,YUANTA FINANCIAL HOLDING CO. LT,Financial Services,50.20000076293945,18.321169,1.9659292,3.0,11.181000000000001,205.064,26.745,24.099999999999998,11.600000000000001,Taiwan,2026-04-19 13:14:13
2886,MEGA FINANCIAL HOLDING CO,Financial Services,39.5,16.73729,1.4932709,4.05,9.264,629550678016.0,45.675,12.4,24.0,Taiwan,2026-04-19 13:14:13
2887,TS FINANCIAL HOLDING CO LTD,Financial Services,24.299999237060547,12.722513,1.286463,3.7,10.479999,683541331968.0,38.173,165.9,155.6,Taiwan,2026-04-19 13:14:13
2888,2888,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taiwan,2026-04-19 13:14:13
2889,IBF FINANCIAL HOLDINGS CO LTD,Financial Services,15.199999809265137,24.126984,1.1968504,1.97,5.5419996,629.182,28.129998,18.9,23.1,Taiwan,2026-04-19 13:14:13
2890,SINOPAC FINANCIAL HLDGS CO LTD,Financial Services,32.70000076293945,16.598986,1.8547931,2.78,11.5480006,384018579456.0,37.217999,41.3,52.800000000000004,Taiwan,2026-04-19 13:14:13
2892,FIRST FINANCIAL HOLDING CO LTD,Financial Services,28.799999237060547,15.401069,1.4164863,3.3,9.6149996,563264684032.0,37.819,12.0,15.0,Taiwan,2026-04-19 13:14:13
3034,NOVATEK MICROELECTRONICS,Technology,415.0,15.456238,3.728025,6.75,24.101,0.815,16.239999,-9.700000000000001,-23.1,Taiwan,2026-04-19 13:14:13
2301,LITE-ON TECHNOLOGY CORP,Technology,162.0,24.5827,4.0937,4.63,16.708000000000002,27.039,9.100999999999999,15.8,28.299999999999997,Taiwan,2026-04-19 13:14:13
2303,UNITED MICRO ELECTRONICS,Technology,73.0,22.05438,2.4197023,3.9,10.958,20.789,17.561,2.4,18.2,Taiwan,2026-04-19 13:14:13
2377,MICRO-STAR INTERNATIONAL CO,Technology,91.9000015258789,13.614815,1.4219624,5.44,10.696,21.429,2.497,11.899999999999999,247.7,Taiwan,2026-04-19 13:14:13
2353,ACER INC,Technology,28.700000762939453,22.960001,1.1412438,4.53,6.353000000000001,32.753,1.3719999999999999,12.6,-26.5,Taiwan,2026-04-19 13:14:13
